コード,銘柄名,市場,現在値,前日比(%),入力CSV,配当利回り(予)(%),時価総額(百万円),PBR(株価純資産倍率)(倍),ROE(自己資本利益率)(%),自己資本比率(%),PER(株価収益率)(予)(倍),売上高成長率(予)(%),経常利益成長率(予)(%),過去3年平均売上高成長率(予)(%),経常利益変化率(%)
4820,イーエムシステムズ,東P,596,-1.0(-0.17%),8271.csv,3.86,"42,027",,,,,,,,
4848,フルキャストＨＬＤＧ,東P,1872,-5.0(-0.27%),8271.csv / 8274.csv,3.42,"65,923",,,,11.95,40.57,14.04,25.84,
4849,エン,東P,1682,+11.0(+0.66%),8271.csv,4.87,"83,622",,,,,,,,
4886,あすか製薬ＨＬＤＧ,東P,2146,+10.0(+0.47%),8271.csv,3.03,"61,726",,,,,,,,
4887,サワイグループＨＬＤＧ,東P,1622.5,+5.5(+0.34%),8271.csv,3.45,"187,700",,,,,,,,
4927,ポーラ・オルビスＨＬＤＧ,東P,1392.5,-7.5(-0.54%),8271.csv,3.73,"319,072",,,,,,,,
4928,ノエビアＨＬＤＧ,東P,4910,+35.0(+0.72%),8271.csv,4.79,"167,709",,,,,,,,
4970,東洋合成工業,東S,12020,+170.0(+1.43%),8274.csv,,,,,,23.77,15.34,59.08,11.87,
4971,メック,東P,6710,-20.0(-0.30%),8274.csv,,,,,,20.91,22.80,39.73,18.77,
4975,ＪＣＵ,東P,5460,+50.0(+0.92%),8271.csv,3.30,"143,156",,,,,,,,
4977,新田ゼラチン,東S,1219,+4.0(+0.33%),8271.csv,3.28,"22,398",,,,,,,,
4996,クミアイ化学工業,東P,783,+1.0(+0.13%),8271.csv,3.07,"104,284",,,,,,,,
5011,ニチレキグループ,東P,2300,-24.0(-1.03%),8271.csv,3.70,"72,878",,,,,,,,
5016,ＪＸ金属,東P,3850.0,+30.0(+0.79%),8274.csv,,,,,,22.02,14.96,46.07,19.27,
5019,出光興産,東P,1357.5,-21.0(-1.52%),8271.csv,3.00,"1,660,518",,,,,,,,
5021,コスモエネルギーＨＬＤＧ,東P,4192.0,-29.0(-0.69%),8271.csv,4.03,"691,855",,,,,,,,
5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,東G,777,-7.0(-0.89%),8274.csv,,,,,,20.13,40.79,100.07,26.12,
5034,ｕｎｅｒｒｙ,東G,2165,+27.0(+1.26%),8274.csv,,,,,,20.27,34.19,58.73,32.81,
5036,日本ビジネスシステムズ,東P,1595,+13.0(+0.82%),8271.csv / 8274.csv,3.13,"77,144",,,,10.26,25.45,22.08,23.98,
5038,ｅＷｅＬＬ,東G,2153,+34.0(+1.60%),8274.csv,,,,,,24.42,23.04,24.19,27.40,
5076,インフロニア・ＨＬＤＧ,東P,2800.0,+31.0(+1.12%),8271.csv,3.56,"825,566",,,,,,,,
5101,横浜ゴム,東P,7515.0,+48.0(+0.64%),8275.csv,,"1,250,469",,11.00,,,,24.24,10.06,36.26
